Date,Open ,High ,Low ,Close 
4/8/2013,55048.75,55136.34,54333.3,55092.31
4/5/2013,54646.07,55226.74,53794.47,55050.6
4/4/2013,55562.74,55579.41,54432.05,54648.15
4/3/2013,54888.22,55573.8,54739.72,55562.74
4/2/2013,55900.63,56257.34,54809.26,54889.1
4/1/2013,56348.07,56348.07,55896.6,55902.18
3/28/2013,56035.45,56373.7,55873.53,56352.09
3/27/2013,55670.35,56177.85,55129.57,56034.29
3/26/2013,54878.68,55763.34,54878.68,55671.39
3/25/2013,55250.06,55450.26,54647.97,54873.12
3/22/2013,55576.67,55893.25,55097.97,55243.4
3/21/2013,56025.39,56043.7,55382.45,55576.67
3/20/2013,56360.72,56396.16,55831.35,56030.03
3/19/2013,56972.96,57037.99,56099.9,56361.24
3/18/2013,56868.76,57151.85,56139.18,56972.96
3/15/2013,57274.83,57532.36,56805.27,56869.28
3/14/2013,57385.56,57850.2,56722.47,57281.02
3/13/2013,58204.14,58410.67,57285.74,57385.9
3/12/2013,58542.43,58709.47,58112.59,58208.61
3/11/2013,58440.49,58546.69,57800.36,58544.79
3/8/2013,58841.63,59031.27,58128.87,58432.75
3/7/2013,57939.66,59472.49,57939.66,58846.81
3/6/2013,55953.35,58149.84,55953.35,57940.14
3/5/2013,56508.07,57226.86,55950.73,55950.73
3/4/2013,56877.8,56877.8,56067.07,56499.17
3/1/2013,57422.21,57422.21,56525.66,56883.99
2/28/2013,57273.1,57798.48,56925.18,57424.29
2/27/2013,56948.35,57402.28,56684.5,57273.88
2/26/2013,56616.07,57007.27,56047.16,56948.87
2/25/2013,56697.56,57157.14,56418.75,56617.56
2/22/2013,56158.58,56742.25,56106.88,56697.06
2/21/2013,56152.66,56227.24,55430.26,56154.68
2/20/2013,57312.46,57568.89,56034.29,56177.6
2/19/2013,57619.38,58060.89,57233.95,57314.4
2/18/2013,57905.69,57929.12,57420.3,57613.9
2/15/2013,58075.64,58352.45,57801.67,57903.3
2/14/2013,58405.74,58405.74,57750.7,58077.31
2/13/2013,58494.5,58754.45,58251.89,58405.74
2/8/2013,58374.1,58638.39,58024.56,58497.83
2/7/2013,58936.31,59435.43,58115.51,58372.46
2/6/2013,59441.63,59582.09,58587.81,58951.07
2/5/2013,59575.66,59974.37,59132.34,59444.97
2/4/2013,60350.37,60350.37,59256.01,59575.66
2/1/2013,59764.49,60496.05,59742.4,60351.16
1/31/2013,59344.44,59771.23,59114.02,59761.49
1/30/2013,60404.64,60404.64,59305.44,59336.7
1/29/2013,60027,60427.64,59757.7,60406.33
1/28/2013,61177.74,61312.86,59921.35,60027.07
1/24/2013,61965.59,62249.42,60838.29,61169.83
1/23/2013,61692.29,61969.36,61542.52,61966.26
1/22/2013,61904.35,61995.23,61534.06,61692.29
1/21/2013,61962.34,62051.78,61804.24,61899.71
1/18/2013,62196.86,62395.2,61822.46,61956.14
1/17/2013,61806.18,62309.42,61683.11,62194.06
1/16/2013,61725.63,61787.35,61241.06,61787.35
1/15/2013,62078.96,62151.36,61694.62,61727.61
1/14/2013,61511.35,62284.76,61511.35,62080.79
1/11/2013,61661.87,61682.83,61198,61497.43
1/10/2013,61578.02,61947.2,61156.05,61678.31
1/9/2013,61128.79,61811.77,61102.69,61578.58
1/8/2013,61932.87,62264.99,61080.92,61127.84
1/7/2013,62523.06,62698.87,61639.34,61932.54
1/4/2013,63314.22,63314.22,62414.98,62523.06
1/3/2013,62555.04,63472.55,62341.48,63312.46
1/2/2013,60990.34,62886.96,60990.34,62550.1
12/28/2012,60415.95,61066.34,60415.95,60952.08
12/27/2012,60963.66,61191.26,60232.51,60415.95
12/26/2012,61002.73,61322.17,60860.95,60959.79
12/21/2012,61270.79,61270.79,60221.04,61007.03
12/20/2012,60991.87,61276.12,60621.68,61276.12
12/19/2012,60460.73,61212.33,60395.57,60998.34
12/18/2012,59568.29,60538.73,59565.27,60460.73
12/17/2012,59604.41,59914.09,59322.71,59566.52
12/14/2012,59319.83,59824.35,59272.85,59604.92
12/13/2012,59458.6,59968.66,59153.76,59316.75
12/12/2012,59625.54,59858.53,59290.68,59474.18
12/11/2012,59257.43,59746.87,58950.76,59623.34
12/10/2012,58467.91,59248.23,58090.95,59248.23
12/7/2012,57656.42,58594.03,57635.6,58487.32
12/6/2012,57684.76,57860.15,57128.67,57656.42
12/5/2012,57596.93,58126.86,57231.43,57678.62
12/4/2012,58211.51,58519.56,57546.53,57563.23
12/3/2012,57479.38,58332.48,57479.38,58202.35
11/30/2012,57845.08,58030.54,56704.1,57474.57
11/29/2012,56562.17,57852.53,56562.17,57852.53
11/28/2012,56205.84,56590.93,55685.72,56539.4
11/27/2012,56737.1,57419.83,56248.09,56248.09
11/26/2012,57571.44,57572.19,56501.67,56737.1
11/23/2012,56438.59,57574.03,56247.86,57574.03
11/22/2012,56245.41,56642.79,56242.49,56436.97
11/21/2012,56453.44,56789.16,55946.1,56242.12
11/19/2012,55387.4,56666.23,55387.4,56450.86
11/16/2012,56276.66,56276.66,55125.56,55402.33
11/14/2012,57472.27,57472.27,56038.37,56279.36
11/13/2012,57048.98,57529.42,56593.18,57486.07
11/12/2012,57357.9,57712.2,56987.62,57064.31
11/9/2012,57516.89,58108.93,56861.95,57357.71
11/8/2012,58522.69,59007.92,57420.19,57524.45
11/7/2012,59460.27,59460.27,58274.14,58517.35
11/6/2012,58220.49,59560.83,58173.63,59458.59
11/5/2012,58374.29,58374.29,57550.95,58209.76
11/1/2012,57065.39,58382.68,56959.94,58382.68
10/31/2012,57682.24,57935.41,56929.03,57068.18
10/30/2012,57178.08,57763.82,57178.08,57683.76
10/29/2012,57266.83,57266.83,56580.85,57176.58
10/26/2012,57833.44,57833.44,57060.99,57276.81
10/25/2012,57160.74,58273.55,57160.74,57836.78
10/24/2012,57685.63,57985.95,57158.65,57160.74
10/23/2012,58678.92,58678.92,57387.79,57690.24
10/22/2012,58924.81,59204.62,58540.97,58700.3
10/19/2012,59701.02,59846.13,58782.08,58922.04
10/18/2012,60087.38,60087.38,59321.52,59733.9
10/17/2012,59742.4,60397.85,59682.88,60087.29
10/16/2012,59602.21,60411.52,59484.16,59743.87
10/15/2012,59164.26,59757.71,58789.83,59601.71
10/11/2012,58460.02,59359.63,58460.02,59161.72
10/10/2012,58944.13,59319.88,58340.53,58456.28
10/9/2012,59318.84,59696.58,58615.57,58939.46
10/8/2012,58571.59,59317.85,58169.6,59317.15
10/5/2012,58460.25,59440.58,58414.42,58571.59
10/4/2012,58627.49,59002.07,58104.97,58458
10/3/2012,59222.08,59483.26,58541.87,58627.33
10/2/2012,59574.68,60090.61,59027.58,59222.08
10/1/2012,59171.24,60215.51,59171.24,59570.8
9/28/2012,60239.79,60239.79,58864.37,59175.86
9/27/2012,60482.86,60888.83,59876.33,60239.79
9/26/2012,60506.24,60506.24,59724.75,60478.05
9/25/2012,61913.2,61947.23,60357.18,60501.1
9/24/2012,61319.09,61931.64,61075.11,61909.99
9/21/2012,61694.81,62223.38,61300.05,61320.07
9/20/2012,61651.83,61908.39,60960.61,61687.97
9/19/2012,61806.12,62514.28,61518.9,61651.83
9/18/2012,61805.75,62131.76,61446.85,61804.33
9/17/2012,62105.75,62691.86,61551.85,61805.98
9/14/2012,61954.87,63428.28,61823.43,62105.47
9/13/2012,59920.71,62116.61,59629.04,61958.12
9/12/2012,59428.91,60135.78,59205.35,59921.8
9/11/2012,58404.68,59514.81,58404.08,59422.55
9/10/2012,58324.63,59420.96,58324.63,58404.1
9/6/2012,56868.2,58328.33,56868.2,58321.24
9/5/2012,56236.32,56904.02,56236.32,56863.91
9/4/2012,57272.08,57272.08,56202.5,56233.9
9/3/2012,57065.06,57456.87,56954.47,57281.45
8/31/2012,57257.43,57834.73,56719.36,57061.45
8/30/2012,57365.86,57507.82,56900.85,57256.43
8/29/2012,58413.68,58552.67,57060.95,57369.19
8/28/2012,58108.86,58745.24,57976.17,58406.4
8/27/2012,58424.36,58461.74,57852.74,58111.46
8/24/2012,58510.69,58750.42,57833.06,58425.76
8/23/2012,59381.56,59381.56,58145.43,58511.55
8/22/2012,58917.73,59584.6,58442.54,59380.76
8/21/2012,59297.6,60208.85,58684.16,58917.73
8/20/2012,59082.88,59462.33,58629.18,59283.09
8/17/2012,59443.15,59822.4,58943.89,59082.37
8/16/2012,58190.19,59543.61,58190.19,59445.79
8/15/2012,58082.92,58374.74,57630.11,58189.28
8/14/2012,59122.74,59605.11,57903.99,58082.92
8/13/2012,59280.83,59543.16,58600.68,59122.74
8/10/2012,58774.27,59365.43,58127.92,59280.93
8/9/2012,58949.78,59201.79,58115.01,58797.13
8/8/2012,57723.08,58963.63,57603.14,58950.98
8/7/2012,58342.84,59316.14,57678.65,57725.66
8/6/2012,57255.02,58995.91,56893.19,58344.61
8/3/2012,55523.58,57399.37,55523.58,57255.22
8/2/2012,56288.58,56288.58,55239.02,55520.4
8/1/2012,56091.3,56735.06,55424.79,56291.93
7/31/2012,57242.83,57465.94,56097.05,56097.05
7/30/2012,56550.61,57240.92,56089.96,57240.92
7/27/2012,54024.19,57046.3,54024.19,56553.12
7/26/2012,52638.42,54126.31,52638.42,54002.72
7/25/2012,52658.46,53232.62,52345.81,52607.54
7/24/2012,53037.82,53416.1,52399.02,52638.63
7/23/2012,54183.29,54183.29,52212.92,53033.96
7/20/2012,55337.37,55337.37,54137.6,54194.79
7/19/2012,54587.83,55490.84,54587.83,55346.65
7/18/2012,53908.82,54587.5,53551.46,54583.13
7/17/2012,53402.58,54037.28,53118.5,53909.47
7/16/2012,54315.89,54418.25,53215.81,53401.8
7/13/2012,53421.95,54427.51,53420.33,54330.51
7/12/2012,53563.56,53615.77,52489.08,53420.87
7/11/2012,53708.42,54135.48,53232.74,53569.14
7/10/2012,55392.42,55588.2,53667.73,53705.82
7/6/2012,56376.09,56376.09,54967.22,55394.05
7/5/2012,56083.48,56943.09,55828.18,56379.06
7/4/2012,55780.32,56322.19,55485.39,56076.82
7/3/2012,54703.51,56228.3,54703.51,55780.32
7/2/2012,54355.43,54753.84,53960.78,54692.79
6/29/2012,52656.26,54354.63,52656.26,54354.63
6/28/2012,53106.58,53305.99,52271.27,52652.25
6/27/2012,53837.07,54005.92,53083.76,53108.93
6/26/2012,53805.59,54193.25,53397.6,53836.57
6/25/2012,55405.71,55405.71,53694.12,53805.38
6/22/2012,55518.04,56019.35,55083.33,55439.5
6/21/2012,57162.02,57218.09,55505.17,55505.17
6/20/2012,57196.13,57611.46,56528.73,57166.55
6/19/2012,56210.07,57567.4,56210.07,57195.49
6/18/2012,56066.04,56578.65,55486.34,56195.21
6/15/2012,55349.45,56104.69,55202.78,56104.69
6/14/2012,55641.01,55768.92,54952.35,55351.67
6/13/2012,55041.48,55988.8,54523.49,55650.51
6/12/2012,54001.45,55049.03,53906.1,55049.03
6/11/2012,54434.12,55400.91,53904.5,54001.45
6/8/2012,54149.69,54432,53684.93,54429.85
6/6/2012,52486.29,54194.55,52486.29,54156.04
6/5/2012,53413.16,53917.35,52481.44,52481.44
6/4/2012,53407.54,53959.82,53367.46,53416.75
6/1/2012,54488.05,54488.05,53086.8,53402.9
5/31/2012,53804.77,54508.8,53089.51,54490.41
5/30/2012,54632.11,54632.11,53382.14,53797.91
5/29/2012,55213.6,55763.24,54554.22,54633.06
5/28/2012,54466.91,55608.56,54466.91,55212.69
5/25/2012,54061.68,54970.03,53846.85,54463.16
5/24/2012,54619.98,54819.95,53176.42,54063
5/23/2012,55038.75,55051.7,53028.11,54619.48
5/22/2012,56586.03,56586.03,54886.46,55038.75
5/21/2012,54515.71,56678.26,54515.71,56590.24
5/18/2012,54032.23,54913.65,53856.02,54513.16
5/17/2012,55886.3,56295.93,54038.2,54038.2
5/16/2012,56245.47,57693.21,55415.13,55887.57
5/15/2012,57539.61,58024.07,56144.55,56237.97
5/14/2012,59443.21,59443.21,57538.83,57539.61
5/11/2012,59702.62,60340,59138.44,59445.21
5/10/2012,59795.55,60751.68,59636.96,59702.05
5/9/2012,60345.76,60345.76,59198.99,59786.12
5/8/2012,61217.94,61217.94,59871.03,60365.48
5/7/2012,60801.88,61299.15,60391,61220.43
5/4/2012,62103.61,62166.92,60438.18,60820.93
5/3/2012,62426.66,62782.95,61731.09,62104.15
5/2/2012,61820.26,62502.33,61593.93,62423.56
4/30/2012,61691.11,61900.06,61230.61,61820.26
4/27/2012,62202.85,62486.15,61666.99,61691.21
4/26/2012,61750.38,62282,61032.82,62198.06
4/25/2012,61988.57,62440.57,61327.64,61750.38
4/24/2012,61536.7,62000.67,61380.23,61971.14
4/23/2012,62494.08,62494.08,60897.25,61539.38
4/20/2012,62620.49,63369.47,62430.75,62494.08
4/19/2012,63007.43,63274.3,62478.12,62618.41
4/18/2012,62695.82,63243.43,62429.43,63010.48
4/17/2012,61959.26,62961.35,61959.26,62698.87
4/16/2012,62119.82,62688.46,61465.28,61954.55
4/13/2012,63039.45,63039.45,61777.78,62105.6
4/12/2012,61300.03,63061.13,61300.03,63058
4/11/2012,61741.42,62356.08,61291.33,61293.14
4/10/2012,62922.45,62922.45,61343.91,61738.28
4/9/2012,63690.35,63690.35,62461.79,62923.21
4/5/2012,63518.32,64298.85,63383.54,63691.18
4/4/2012,64301.29,64301.29,63450.34,63528.65
4/3/2012,65217.73,65530.22,64015.27,64284.26
4/2/2012,64514.56,65593.15,64198.56,65216.25
3/30/2012,64875.21,65363.3,64245.36,64510.97
3/29/2012,65074.24,65074.24,64095.7,64871.99
3/28/2012,66031.9,66031.9,64819.41,65079.34
3/27/2012,66682.62,66967.92,65924.64,66037.35
3/26/2012,65817.72,66775.65,65817.72,66684.59
3/23/2012,65831.3,66252.81,65576.28,65812.95
3/22/2012,66860.05,66860.05,65534.25,65828.19
