"Date","Open.","High.","Low.","Close."
2010-06-22,64833.9,65830.86,64689.59,64810.62
2010-06-23,64811.84,65160.67,64247.47,65160.33
2010-06-24,65153.81,65153.81,63735.61,63936.7
2010-06-25,63936.7,64868.94,63806.08,64823.83
2010-06-28,64825.14,65104.67,64225.22,64225.22
2010-06-29,64215.55,64215.55,61670.12,61977.91
2010-06-30,61971.59,62644.69,60935.9,60935.9
2010-07-01,60934.58,61381.03,60055.71,61236.2
2010-07-02,61236.2,61811.57,60763.62,61429.79
2010-07-05,61435.53,61667.07,60796.2,60865.27
2010-07-06,60869.54,62450.61,60869.54,62064.75
2010-07-07,62066.9,63313.36,62004.44,63283.8
2010-07-08,63281.52,63595.7,62894.62,63476.32
2010-07-12,63477.43,63972.36,62749.61,62960.1
